motifs,time
D,0.62937
C,1.251648
H,1.251648
I,1.880842
L,2.19028
E,2.499718
C,2.809156
H,3.136488
G,3.755364
N,3.755364
E,4.38456
F,4.697418
I,5.010276
N,5.323135
H,5.644886
H,6.267164
H,6.267164
I,6.896358
N,7.205796
I,7.515234
N,7.829832
H,8.151582
G,8.780778
N,8.780778
E,9.409972
E,9.72457
E,10.039168
C,10.348606
D,10.668537
C,11.290815
H,11.290815
I,11.92001
L,12.229448
E,12.538886
C,12.848324
H,13.175656
G,13.794532
L,13.794532
I,14.423727
N,14.736586
H,15.049444
D,15.362302
G,15.689634
O,16.311912
N,16.311912
G,16.941108
N,17.257463
H,17.577394
H,18.20659
G,18.20659
N,18.20659
E,18.521187
F,18.844776
B,18.844776
H,18.844776
I,19.161132
N,19.510115
G,19.510115
L,19.510115
I,19.828248
L,20.149999
F,20.468132
D,20.791722
F,21.587055
C,21.747021
E,21.907896
G,22.070001
N,22.386357
D,22.713689
B,23.031822
D,23.353573
I,24.157949
N,24.318824
E,24.483442
E,24.64806
F,24.97165
H,25.300886
H,25.620817
D,25.944407
F,26.750652
C,26.910618
E,27.071493
G,27.233598
N,27.453089
H,27.671945
H,27.890166
H,28.213756
G,28.213756
J,28.213756
O,28.537345
L,28.860935
I,28.860935
L,28.860935
I,29.184524
P,29.508114
P,29.508114
N,29.831703
C,30.155293
F,30.155293
D,30.482625
F,30.804375
D,31.127965
F,31.923299
C,32.083264
E,32.24414
G,32.406244
N,32.7226
D,33.049932
B,33.368065
D,33.689816
I,34.494192
N,34.655067
E,34.819685
E,34.984303
F,35.307893
H,35.637129
H,35.95706
D,36.28065
F,37.086896
C,37.246861
E,37.407737
G,37.569841
N,37.789332
H,38.008188
H,38.226409
H,38.54816
G,38.54816
J,38.54816
O,38.879322
N,39.096289
H,39.313256
H,39.530222
G,39.850154
P,39.850154
I,39.850154
O,40.17939
N,40.396357
H,40.613323
H,40.83029
H,41.153879
H,41.153879
D,41.153879
E,41.477469
F,41.801058
H,41.801058
I,41.801058
L,42.124648
F,42.45198
D,42.45198
I,42.45198
P,42.779312
N,43.114395
H,43.114395
G,43.114395
L,43.449478
I,43.449478
N,43.771228
G,43.771228
N,44.09116
