motifs,time
C,0.373902
C,0.373902
C,0.55966
C,0.55966
C,0.745419
C,0.745419
C,0.932828
C,0.932828
C,1.120386
C,1.120386
C,1.306733
C,1.306733
C,1.49308
C,1.49308
C,1.67993
C,1.67993
C,1.866881
C,1.866881
C,2.053228
C,2.053228
C,2.239575
C,2.239575
C,2.426526
C,2.426526
I,2.613477
P,2.613477
C,2.800428
C,2.800428
D,2.987379
C,2.987379
I,3.548232
N,3.641708
H,3.735183
I,4.44214
L,4.490841
F,4.965525
H,5.060462
H,5.155399
H,5.250335
G,6.013504
L,6.013504
C,6.200455
C,6.200455
C,6.387406
C,6.387406
C,6.572569
C,6.572569
C,6.757731
C,6.757731
C,6.94529
C,6.94529
C,7.132848
C,7.132848
C,7.320407
C,7.320407
C,7.507965
C,7.507965
C,7.694916
C,7.694916
C,7.881867
C,7.881867
C,8.069426
C,8.069426
C,8.256984
C,8.256984
C,8.442147
C,8.442147
I,8.627309
P,8.627309
C,8.813068
C,8.813068
D,8.998826
C,8.998826
I,9.557818
N,9.650992
H,9.744165
I,10.449786
L,10.498646
F,10.97333
H,11.068266
H,11.163203
H,11.25814
I,11.974052
L,12.022028
F,13.142564
B,13.236343
H,13.330122
H,13.423902
H,13.517681
C,13.611156
E,13.704632
E,13.798107
E,13.891583
C,13.985976
H,14.080369
H,14.174762
H,14.269155
C,14.36263
E,14.456106
E,14.549581
E,14.643057
C,14.736532
H,14.830008
H,14.923483
H,15.016959
C,15.111146
E,15.206679
E,15.304708
E,15.409746
C,15.503221
H,15.596697
H,15.690172
H,15.783648
H,15.877123
H,15.970599
H,16.064074
H,16.15755
H,16.252559
H,16.347567
H,16.442576
C,16.537585
F,16.934936
H,17.3713
H,17.829315
H,18.406238
I,20.189562
N,20.283037
C,20.376513
C,20.469988
C,20.563464
C,20.656343
C,20.749222
C,20.842102
C,20.934981
C,21.02786
C,21.120739
C,21.213619
C,21.306498
C,21.399973
C,21.493449
C,21.586924
C,21.6804
C,21.773875
C,21.867351
C,21.960826
C,22.054302
C,22.146883
C,22.239464
C,22.332046
C,22.424627
C,22.517208
C,22.609789
C,22.702371
I,22.794952
P,22.888278
C,22.981754
C,23.075229
D,23.168705
E,23.729558
F,23.823033
H,23.916509
I,24.622523
L,24.67091
F,25.144097
H,25.238734
H,25.333371
H,25.428008
G,26.188374
L,26.281849
C,26.375325
C,26.4688
C,26.562276
C,26.654857
C,26.747438
C,26.84002
C,26.932601
C,27.025182
C,27.117763
C,27.210345
C,27.302926
C,27.397011
C,27.491096
C,27.585182
C,27.679267
C,27.772742
C,27.866218
C,27.959693
C,28.053169
C,28.146048
C,28.238927
C,28.331807
C,28.424686
C,28.51857
C,28.612655
C,28.706741
I,28.800826
P,28.894911
C,28.988996
C,29.083082
D,29.177167
E,29.73802
F,29.831495
H,29.924971
I,30.631455
L,30.679999
F,31.153185
H,31.247822
H,31.34246
H,31.437097
I,32.149327
L,32.197462
F,32.672146
H,32.767083
H,32.86202
H,32.956956
C,33.722655
F,34.190033
H,34.283508
H,34.376984
C,34.470459
C,34.563935
H,34.65741
H,34.750886
C,34.844361
E,34.937837
F,35.031312
H,35.124788
H,35.218263
H,35.311739
H,35.405214
H,35.498892
C,35.592672
E,35.686451
E,35.780536
E,35.874621
E,35.968809
C,36.063202
C,36.157595
E,36.252191
E,36.346888
E,36.441585
E,36.536594
E,36.631602
E,36.726821
C,36.820906
C,36.914991
C,37.008974
C,37.102754
F,37.196533
H,37.29011
H,37.383585
C,37.477061
C,37.570536
H,37.664012
H,37.757487
C,37.850963
E,37.944438
F,38.037914
H,38.131389
H,38.224865
H,38.31834
H,38.411816
H,38.505291
C,38.598767
E,38.692242
E,38.785718
E,38.879193
E,38.972669
C,39.066144
C,39.15962
E,39.253095
E,39.346571
E,39.440046
E,39.533522
E,39.631753
E,39.729985
F,39.823461
H,39.916936
H,40.010412
H,40.103887
C,40.197363
H,40.290838
E,40.384314
E,40.477789
F,40.571265
H,40.66474
H,40.758216
H,40.851691
C,40.945167
H,41.038642
E,41.132118
E,41.225593
F,41.319069
H,41.412544
H,41.50602
I,41.599495
N,41.692971
H,41.786446
H,41.879922
I,41.973397
N,42.066873
H,42.160348
H,42.253824
I,42.347299
N,42.440775
H,42.53425
H,42.627726
I,42.721201
N,42.81498
H,42.90876
H,43.002539
I,43.096318
N,43.190097
H,43.284081
H,43.378166
I,43.472251
N,43.566336
H,43.660422
H,43.754609
I,43.849002
N,43.943395
H,44.037788
H,44.132181
I,44.226676
N,44.320455
H,44.414234
H,44.508217
I,44.602303
N,44.696491
H,44.790884
H,44.885277
I,44.979974
N,45.074671
H,45.169575
H,45.264584
I,46.517803
N,46.709704
P,46.901606
P,47.093507
P,47.294042
P,47.485944
P,48.064002
P,48.25773
P,48.451886
P,48.646582
P,48.841717
P,49.035553
P,49.229816
P,49.424512
P,49.619757
P,49.815554
P,50.011351
P,50.206596
P,50.402726
P,50.599629
P,50.79754
P,50.996361
P,51.195985
P,51.3955
C,51.601279
F,51.824471
D,52.081423
F,52.081423
H,52.081423
I,52.961963
N,52.961963
G,52.961963
P,53.392564
N,53.392564
H,53.392564
I,53.848214
N,53.848214
G,53.848214
P,54.732062
P,54.732062
P,55.636806
N,55.636806
H,55.636806
I,56.527344
