timestamp,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.180314,0.0,0.765365,0.0,0.863177,0.677163,0.0,0.0,0.0,0.972083
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046729,0.0,0.164985,0.013528,0.0,0.613172,0.0,0.004002
4,0.0,0.0,0.0,0.079075,0.00592,0.3001,0.022314,0.000411,2e-06,0.0,7e-06,1e-06,0.0,2.8e-05,0.0,0.022314
5,0.0,0.0,0.0,0.008773,0.002563,0.436294,1e-06,0.0,0.032874,0.0,0.0,0.0,0.0,0.0007,0.0,0.120933
6,0.0,0.0,0.0,7e-05,0.45728,0.000842,0.0,0.00311,0.45728,0.0,0.0,0.0,0.0,0.133603,0.038904,5e-06
7,0.0,0.0,0.013483,0.049062,2.1e-05,0.172942,0.0,0.636978,2.1e-05,0.0,0.0,0.0,0.0,0.000994,0.000265,6.9e-05
8,0.0,0.0,0.239157,0.659385,0.584427,0.963705,0.012522,0.85061,0.399585,0.0,0.005627,0.004382,0.0,0.513928,0.16143,0.141119
9,0.0,0.0,0.087981,0.514122,0.455833,0.584082,0.847885,0.312922,0.662647,0.0,0.00207,0.958381,0.0,0.750331,0.059387,0.051915
10,0.0,0.0,0.0,0.0,0.0,0.0,9e-06,0.000375,0.001374,0.0,0.0,3e-05,0.0,0.86039,0.065069,0.235548
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429051,0.007609,0.028162
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082518,0.001151,0.378757
13,0.0,0.0,0.001611,0.009416,0.008349,0.010698,0.703304,0.02262,0.927391,0.0,3.8e-05,0.809848,0.0,0.610777,0.449909,0.522382
14,0.0,0.0,0.000593,0.003464,0.003071,0.003936,0.258731,0.008321,0.446338,0.0,0.850369,0.65968,0.0,0.224692,0.165512,0.964112
15,0.0,0.0,0.000218,0.001274,0.00113,0.001448,0.095182,0.003061,0.453529,0.0,0.814933,0.644785,0.0,0.08266,0.060888,0.917498
16,0.0,0.0,8e-05,0.000469,0.944519,0.828593,0.035015,0.725772,0.430736,0.0,0.488318,0.380856,0.0,0.555013,0.0224,0.337529
17,0.0,0.0,0.0,0.825183,0.234097,0.234097,9.5e-05,0.001261,0.004773,0.0,0.0,0.0,0.0,0.064276,0.0,0.0
18,0.0,0.0,0.006129,0.071987,0.02116,0.26778,0.0,0.0,0.937799,0.0,0.0,0.0,0.0,3e-06,0.0,0.000498
19,0.0,0.0,0.937274,3e-06,0.001754,0.270206,0.0,0.0,0.001754,0.0,0.0,0.0,0.0,0.077373,0.021927,0.005833
20,0.0,0.0,4.3e-05,0.896076,0.264941,0.264941,0.0,0.001783,0.006238,0.0,0.0,0.0,0.0,0.074054,1e-06,0.0
21,0.0,0.0,0.0,0.075312,0.022291,0.273413,0.0,0.000524,0.968042,0.0,0.0,0.0,0.0,3e-06,0.0,0.0
22,0.0,0.0,0.0,0.087959,1e-06,1.2e-05,0.000524,0.023982,0.319678,0.0,0.0,0.001886,0.0,0.000153,0.0,0.0
23,0.0,0.0,0.0,4e-06,0.0,0.0,0.0,1e-06,1.5e-05,0.0,0.0,0.0,0.0,0.009187,0.443273,0.12209
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001125,0.069146,0.275007
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304437,0.016387,0.069979
26,0.0,0.0,0.0,0.0,0.0,0.0,0.588687,0.0,0.0,0.047914,0.0,0.003318,0.0,0.000862,0.000222,0.168569
27,0.0,0.0,0.0,0.0,0.0,0.013567,0.528549,0.0,0.001155,2e-06,0.0,0.003988,0.0,0.0,0.0,0.156275
28,0.0,0.0,0.0,0.0,0.0,0.011691,0.042777,0.0,0.000929,0.0,0.673862,0.003265,0.0,0.0,0.159376,8.1e-05
29,0.0,0.0,0.0,0.0,0.0,1e-06,2e-06,0.0,0.0,0.0,3.1e-05,0.097626,0.0,0.069754,0.049839,0.0
30,0.0,0.0,1.7e-05,0.000263,8.4e-05,0.653216,0.653216,0.653216,0.067332,0.013517,0.130097,0.291516,0.0,0.281879,0.27256,0.052739
